,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,420,56,71,10,14,18,34,51,260,66,
car,41,348,37,22,30,29,115,33,148,197,
bird,126,60,216,15,115,99,216,61,59,33,
cat,47,81,129,45,94,216,182,108,42,56,
deer,50,41,163,25,201,79,311,62,43,25,
dog,37,41,115,38,81,359,154,87,64,24,
frog,13,58,92,22,77,97,511,71,12,47,
horse,46,56,128,24,124,85,128,248,61,100,
ship,116,94,42,16,9,52,14,16,529,112,
truck,43,148,41,5,26,17,84,45,179,412,
