,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,542,94,70,44,15,5,12,49,101,68,
car,53,612,30,47,21,11,23,41,42,120,
bird,110,93,337,145,106,23,66,71,27,22,
cat,41,142,136,382,45,79,50,57,24,44,
deer,56,73,213,124,271,17,72,141,11,22,
dog,52,106,126,267,70,200,37,93,30,19,
frog,11,96,126,248,116,26,289,43,9,36,
horse,44,88,90,87,91,30,19,442,15,94,
ship,240,160,30,41,11,16,6,26,364,106,
truck,66,284,18,25,12,11,32,64,45,443,
