,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,511,62,64,26,25,25,17,31,155,84,
car,75,399,53,42,25,35,50,31,58,232,
bird,126,46,303,82,133,88,112,42,30,38,
cat,53,83,125,247,62,211,78,38,28,75,
deer,72,34,185,68,324,91,122,53,12,39,
dog,44,46,144,140,74,342,76,59,44,31,
frog,20,73,114,115,133,104,363,23,12,43,
horse,57,57,107,68,142,87,48,286,27,121,
ship,196,72,33,18,10,46,9,24,445,147,
truck,79,155,26,30,26,19,34,31,78,522,
