,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,461,58,71,20,14,31,28,51,199,67,
car,57,359,42,20,32,36,80,47,113,214,
bird,126,61,230,55,136,91,173,54,41,33,
cat,50,60,146,123,115,190,147,94,26,49,
deer,46,39,170,35,261,89,231,60,39,30,
dog,47,38,133,90,84,326,135,76,47,24,
frog,15,62,96,53,110,84,471,54,8,47,
horse,49,68,130,47,121,86,95,263,41,100,
ship,164,107,35,13,16,41,7,29,470,118,
truck,55,152,49,17,28,17,68,52,121,441,
